nom_standard,densite
Bondoufle,1593.0
Boullay-les-Troux,131.0
Bouray-sur-Juine,288.0
Boussy-Saint-Antoine,2733.0
Boutervilliers,60.0
Boutigny-sur-Essonne,182.0
Bouville,31.0
Brétigny-sur-Orge,1857.0
Breuillet,1320.0
Breux-Jouy,271.0
Brières-les-Scellés,146.0
Briis-sous-Forges,302.0
Brouy,15.0
Brunoy,3864.0
Bruyères-le-Châtel,277.0
Buno-Bonnevaux,31.0
Bures-sur-Yvette,2118.0
Cerny,194.0
Chalo-Saint-Mars,36.0
Chalou-Moulineux,36.0
Chamarande,192.0
Champcueil,176.0
Champlan,700.0
Champmotteux,48.0
Chatignonville,14.0
Chauffour-lès-Étréchy,28.0
Cheptainville,307.0
Chevannes,151.0
Chilly-Mazarin,3535.0
Corbeil-Essonnes,4772.0
Corbreuse,108.0
Le Coudray-Montceaux,421.0
Courances,39.0
Courdimanche-sur-Essonne,48.0
Courson-Monteloup,153.0
Crosne,3859.0
Dannemois,99.0
D'Huison-Longueville,152.0
Dourdan,367.0
Draveil,1831.0
Écharcon,108.0
Égly,1697.0
Épinay-sous-Sénart,3279.0
Épinay-sur-Orge,2457.0
Étampes,577.0
Étiolles,264.0
Étréchy,483.0
Évry-Courcouronnes,7740.0
La Ferté-Alais,806.0
Fleury-Mérogis,2181.0
Fontaine-la-Rivière,46.0
Fontenay-lès-Briis,235.0
Fontenay-le-Vicomte,228.0
La Forêt-le-Roi,63.0
La Forêt-Sainte-Croix,30.0
Forges-les-Bains,282.0
Gif-sur-Yvette,1875.0
Gironville-sur-Essonne,57.0
Gometz-la-Ville,156.0
Gometz-le-Châtel,525.0
Les Granges-le-Roi,92.0
Grigny,5441.0
Guibeville,342.0
Guigneville-sur-Essonne,95.0
Guillerval,47.0
Igny,2639.0
Itteville,537.0
Janville-sur-Juine,185.0
Janvry,77.0
Juvisy-sur-Orge,8262.0
Lardy,715.0
Leudeville,199.0
Leuville-sur-Orge,1729.0
Limours,457.0
Linas,925.0
Lisses,698.0
Longjumeau,4243.0
Longpont-sur-Orge,1268.0
Maisse,130.0
Marcoussis,504.0
Marolles-en-Beauce,40.0
Marolles-en-Hurepoix,865.0
Massy,5421.0
Mauchamps,119.0
Mennecy,1409.0
Le Mérévillois,123.0
Mérobert,59.0
Mespuits,20.0
Milly-la-Forêt,137.0
Moigny-sur-École,105.0
Les Molières,269.0
Mondeville,107.0
Monnerville,46.0
Montgeron,2133.0
Montlhéry,2619.0
Morangis,2752.0
Morigny-Champigny,142.0
Morsang-sur-Orge,4745.0
Morsang-sur-Seine,127.0
Nainville-les-Roches,87.0
La Norville,939.0
Nozay,608.0
Ollainville,466.0
Oncy-sur-École,191.0
Ormoy,1388.0
Ormoy-la-Rivière,90.0
Orsay,2090.0
Orveau,35.0
Palaiseau,2987.0
Paray-Vieille-Poste,1298.0
Pecqueuse,75.0
Le Plessis-Pâté,548.0
Plessis-Saint-Benoist,36.0
Prunay-sur-Essonne,59.0
Puiselet-le-Marais,23.0
Pussay,187.0
Quincy-sous-Sénart,1816.0
Richarville,37.0
Ris-Orangis,3555.0
Roinville,97.0
Roinvilliers,15.0
Saclas,135.0
Saclay,316.0
Saint-Aubin,192.0
Saint-Chéron,454.0
Saint-Cyr-la-Rivière,56.0
Saint-Cyr-sous-Dourdan,95.0
Saint-Escobille,39.0
Sainte-Geneviève-des-Bois,3830.0
Saint-Germain-lès-Arpajon,1794.0
Saint-Germain-lès-Corbeil,1845.0
Saint-Hilaire,59.0
Saint-Jean-de-Beauregard,119.0
Saint-Maurice-Montcouronne,168.0
Saint-Michel-sur-Orge,4030.0
Saint-Pierre-du-Perray,993.0
Saintry-sur-Seine,1761.0
Saint-Sulpice-de-Favières,61.0
Saint-Vrain,261.0
Saint-Yon,194.0
Saulx-les-Chartreux,854.0
Savigny-sur-Orge,5339.0
Sermaise,115.0
Soisy-sur-École,105.0
Soisy-sur-Seine,843.0
Souzy-la-Briche,63.0
Congerville-Thionville,26.0
Tigery,459.0
Torfou,80.0
Valpuiseaux,33.0
Le Val-Saint-Germain,120.0
